order_id,order_date,customer_id,product_id,product_name,category,quantity,unit_price,amount,channel,status
O001469,2024-01-17,C0045,P0022,뷰티풀 콜라겐 수분크림,뷰티,3,23200,69600,앱,배송완료
O001531,2024-01-17,C0050,P0029,리빙 극세사 베개 2개세트,생활용품,1,24650,24650,웹,배송완료
O001608,2024-01-17,C0057,P0009,장구 무선 핸디 청소기,가전,1,129000,129000,웹,배송중
O000351,2024-01-18,C0074,P0009,장구 무선 핸디 청소기,가전,1,129000,129000,앱,배송완료
O001124,2024-01-18,C0104,P0039,북하우스 어린이 그림책 10권,도서,3,89000,267000,웹,환불
O001425,2024-01-18,C0146,P0026,승승 콜드브루 스틱 30개입,식품,1,18000,18000,웹,배송완료
O002139,2024-01-18,C0164,P0019,뷰티풀 수분 진정 토너 300ml,뷰티,1,19200,19200,앱,배송완료
O000669,2024-01-19,C0010,P0024,승승 유기농 견과류 믹스 1kg,식품,1,23000,23000,앱,취소
O002292,2024-01-19,C0010,P0039,북하우스 어린이 그림책 10권,도서,1,89000,89000,앱,배송완료
O001381,2024-01-20,C0034,P0014,승승 데일리 코튼 후드티,패션의류,2,39000,78000,웹,배송완료
O001642,2024-01-20,C0117,P0016,승승 슬림핏 청바지,패션의류,1,59000,59000,웹,결제완료
O001954,2024-01-20,C0020,P0035,스포라이프 등산 스틱 한쌍,스포츠레저,5,45000,225000,웹,배송완료
O002386,2024-01-20,C0149,P0013,장구 전기포트 1.7L 온도조절,가전,1,44100,44100,앱,결제완료
O001760,2024-01-21,C0098,P0040,북하우스 자기계발 다이어리 2026,도서,3,18000,54000,앱,배송완료
O000119,2024-01-22,C0186,P0024,승승 유기농 견과류 믹스 1kg,식품,2,23000,46000,앱,배송완료
O000510,2024-01-22,C0099,P0026,승승 콜드브루 스틱 30개입,식품,1,18000,18000,앱,배송완료
O000762,2024-01-22,C0090,P0038,북하우스 코딩 입문 자습서,도서,5,28000,140000,웹,배송완료
O000926,2024-01-22,C0068,P0031,리빙 친환경 주방세제 리필 5L,생활용품,1,21000,21000,웹,배송중
O001858,2024-01-22,C0106,P0016,승승 슬림핏 청바지,패션의류,1,59000,59000,앱,결제완료
O002349,2024-01-22,C0157,P0036,스포라이프 러닝화 클라우드,스포츠레저,1,89100,89100,전화,배송완료
O001137,2024-01-23,C0042,P0018,승승 방수 트레킹 자켓,패션의류,1,99000,99000,앱,배송완료
O001890,2024-01-23,C0056,P0031,리빙 친환경 주방세제 리필 5L,생활용품,1,21000,21000,앱,환불
O002028,2024-01-23,C0197,P0033,스포라이프 요가매트 10mm,스포츠레저,1,32000,32000,앱,배송완료
O002079,2024-01-23,C0118,P0036,스포라이프 러닝화 클라우드,스포츠레저,1,99000,99000,웹,배송완료
O002369,2024-01-23,C0194,P0001,승승 무선 블루투스 이어버드 SE,전자기기,2,79000,158000,전화,배송완료
O000076,2024-01-24,C0073,P0009,장구 무선 핸디 청소기,가전,1,129000,129000,웹,배송중
O000137,2024-01-24,C0010,P0037,북하우스 베스트셀러 소설 세트,도서,1,42000,42000,앱,배송완료
O001672,2024-01-24,C0097,P0034,스포라이프 조절식 덤벨 24kg,스포츠레저,2,159000,318000,앱,배송완료
O000014,2024-01-25,C0111,P0007,승승 4K 웹캠 스트리머,전자기기,1,99000,99000,앱,배송완료
O000712,2024-01-25,C0162,P0025,승승 현미 잡곡 10kg,식품,1,33150,33150,전화,배송완료
O001169,2024-01-25,C0074,P0024,승승 유기농 견과류 믹스 1kg,식품,1,23000,23000,앱,배송완료
O001443,2024-01-25,C0117,P0022,뷰티풀 콜라겐 수분크림,뷰티,3,29000,87000,웹,배송완료
O002041,2024-01-25,C0100,P0018,승승 방수 트레킹 자켓,패션의류,1,99000,99000,전화,배송중
O000821,2024-01-26,C0133,P0018,승승 방수 트레킹 자켓,패션의류,1,99000,99000,웹,취소
O001051,2024-01-26,C0064,P0026,승승 콜드브루 스틱 30개입,식품,1,18000,18000,앱,배송완료
O001894,2024-01-26,C0051,P0008,장구 로봇청소기 CleanX,가전,1,449000,449000,전화,배송완료
O002113,2024-01-26,C0117,P0015,승승 경량 패딩 점퍼,패션의류,1,119000,119000,앱,배송중
O000306,2024-01-27,C0110,P0036,스포라이프 러닝화 클라우드,스포츠레저,1,99000,99000,앱,배송완료
O000678,2024-01-27,C0088,P0006,승승 기계식 게이밍 키보드,전자기기,1,89000,89000,웹,배송중
O000884,2024-01-27,C0148,P0027,승승 단백질 쉐이크 2kg,식품,1,49000,49000,앱,배송완료
O001771,2024-01-28,C0076,P0023,승승 프리미엄 원두커피 1kg,식품,2,28000,56000,앱,배송완료
O000670,2024-01-29,C0177,P0019,뷰티풀 수분 진정 토너 300ml,뷰티,1,24000,24000,앱,배송완료
O001066,2024-01-29,C0135,P0005,승승 USB-C 멀티허브 7in1,전자기기,2,40500,81000,앱,배송완료
O000465,2024-01-30,C0138,P0014,승승 데일리 코튼 후드티,패션의류,1,39000,39000,웹,배송완료
O000486,2024-01-30,C0123,P0027,승승 단백질 쉐이크 2kg,식품,1,49000,49000,웹,배송완료
O000491,2024-01-30,C0122,P0015,승승 경량 패딩 점퍼,패션의류,1,107100,107100,웹,배송완료
O002124,2024-01-30,C0086,P0035,스포라이프 등산 스틱 한쌍,스포츠레저,1,36000,36000,앱,결제완료
O002159,2024-01-30,C0110,P0018,승승 방수 트레킹 자켓,패션의류,1,99000,99000,웹,배송중
O002365,2024-01-30,C0043,P0018,승승 방수 트레킹 자켓,패션의류,1,99000,99000,웹,결제완료
O000061,2024-01-31,C0033,P0020,뷰티풀 비타민C 세럼 30ml,뷰티,1,34000,34000,앱,배송완료
O000269,2024-01-31,C0059,P0002,승승 노이즈캔슬링 헤드폰 Pro,전자기기,1,219000,219000,앱,배송완료
O000311,2024-01-31,C0115,P0018,승승 방수 트레킹 자켓,패션의류,1,99000,99000,앱,배송완료
O001239,2024-01-31,C0063,P0029,리빙 극세사 베개 2개세트,생활용품,1,26100,26100,앱,배송완료
O000197,2024-02-02,C0128,P0003,승승 스마트워치 Fit 5,전자기기,2,159000,318000,웹,배송중
O000619,2024-02-02,C0135,P0024,승승 유기농 견과류 믹스 1kg,식품,1,23000,23000,웹,배송완료
O000766,2024-02-02,C0100,P0032,리빙 스테인리스 텀블러 500ml,생활용품,5,22000,110000,앱,배송중
O001459,2024-02-02,C0063,P0002,승승 노이즈캔슬링 헤드폰 Pro,전자기기,5,219000,1095000,웹,배송완료
O000020,2024-02-03,C0006,P0023,승승 프리미엄 원두커피 1kg,식품,2,28000,56000,웹,배송완료
O001457,2024-02-03,C0132,P0011,장구 에어프라이어 5.5L,가전,3,75650,226950,전화,배송완료
O001835,2024-02-03,C0093,P0027,승승 단백질 쉐이크 2kg,식품,1,49000,49000,웹,환불
O002260,2024-02-03,C0176,P0006,승승 기계식 게이밍 키보드,전자기기,1,89000,89000,전화,배송중
O002091,2024-02-04,C0021,P0021,뷰티풀 자외선차단 선크림 SPF50,뷰티,1,19000,19000,앱,배송완료
O000078,2024-02-06,C0119,P0035,스포라이프 등산 스틱 한쌍,스포츠레저,1,36000,36000,앱,배송완료
O000315,2024-02-06,C0163,P0032,리빙 스테인리스 텀블러 500ml,생활용품,1,18700,18700,앱,배송완료
O000012,2024-02-08,C0004,P0028,리빙 4계절 차렵이불 퀸,생활용품,1,69000,69000,앱,배송중
O000555,2024-02-08,C0020,P0037,북하우스 베스트셀러 소설 세트,도서,1,42000,42000,웹,배송완료
O000295,2024-02-09,C0004,P0012,장구 초고속 블렌더 1200W,가전,1,119000,119000,앱,배송중
O001079,2024-02-09,C0107,P0007,승승 4K 웹캠 스트리머,전자기기,1,99000,99000,앱,배송완료
O001884,2024-02-09,C0059,P0004,승승 고속충전 보조배터리 20000mAh,전자기기,1,39000,39000,앱,배송완료
O000235,2024-02-11,C0012,P0028,리빙 4계절 차렵이불 퀸,생활용품,1,69000,69000,웹,배송완료
O000505,2024-02-11,C0199,P0027,승승 단백질 쉐이크 2kg,식품,1,39200,39200,앱,배송완료
O001444,2024-02-11,C0131,P0035,스포라이프 등산 스틱 한쌍,스포츠레저,1,45000,45000,웹,환불
O002226,2024-02-11,C0035,P0031,리빙 친환경 주방세제 리필 5L,생활용품,2,18900,37800,전화,배송완료
O000284,2024-02-13,C0199,P0014,승승 데일리 코튼 후드티,패션의류,3,39000,117000,웹,배송중
O001625,2024-02-13,C0022,P0022,뷰티풀 콜라겐 수분크림,뷰티,2,26100,52200,웹,배송중
O002329,2024-02-13,C0062,P0038,북하우스 코딩 입문 자습서,도서,1,25200,25200,웹,배송완료
O000469,2024-02-14,C0139,P0036,스포라이프 러닝화 클라우드,스포츠레저,1,99000,99000,웹,배송완료
O001097,2024-02-14,C0084,P0015,승승 경량 패딩 점퍼,패션의류,1,107100,107100,앱,배송완료
O001123,2024-02-14,C0117,P0022,뷰티풀 콜라겐 수분크림,뷰티,3,23200,69600,앱,배송완료
O001623,2024-02-14,C0076,P0001,승승 무선 블루투스 이어버드 SE,전자기기,2,79000,158000,전화,배송완료
O001948,2024-02-14,C0111,P0012,장구 초고속 블렌더 1200W,가전,2,101150,202300,앱,배송중
O000651,2024-02-15,C0083,P0011,장구 에어프라이어 5.5L,가전,1,89000,89000,전화,배송완료
O002150,2024-02-15,C0146,P0025,승승 현미 잡곡 10kg,식품,2,39000,78000,웹,배송완료
O002336,2024-02-15,C0075,P0003,승승 스마트워치 Fit 5,전자기기,2,159000,318000,앱,배송완료
O000017,2024-02-16,C0080,P0014,승승 데일리 코튼 후드티,패션의류,1,39000,39000,웹,배송완료
O001020,2024-02-16,C0193,P0027,승승 단백질 쉐이크 2kg,식품,1,49000,49000,웹,배송완료
O001977,2024-02-16,C0094,P0026,승승 콜드브루 스틱 30개입,식품,1,14400,14400,앱,배송완료
O001991,2024-02-16,C0019,P0021,뷰티풀 자외선차단 선크림 SPF50,뷰티,2,19000,38000,웹,배송완료
O002109,2024-02-16,C0198,P0009,장구 무선 핸디 청소기,가전,3,129000,387000,전화,배송완료
O000207,2024-02-17,C0133,P0019,뷰티풀 수분 진정 토너 300ml,뷰티,2,24000,48000,앱,배송완료
O001380,2024-02-17,C0035,P0019,뷰티풀 수분 진정 토너 300ml,뷰티,1,24000,24000,앱,환불
O001807,2024-02-17,C0075,P0007,승승 4K 웹캠 스트리머,전자기기,1,99000,99000,전화,배송중
O001999,2024-02-17,C0053,P0011,장구 에어프라이어 5.5L,가전,1,89000,89000,전화,배송완료
O000683,2024-02-18,C0039,P0021,뷰티풀 자외선차단 선크림 SPF50,뷰티,1,17100,17100,웹,배송중
O000720,2024-02-18,C0052,P0037,북하우스 베스트셀러 소설 세트,도서,2,42000,84000,웹,환불
O001987,2024-02-18,C0185,P0014,승승 데일리 코튼 후드티,패션의류,1,39000,39000,앱,배송완료
O000647,2024-02-19,C0083,P0018,승승 방수 트레킹 자켓,패션의류,1,84150,84150,전화,배송완료
O000650,2024-02-19,C0006,P0002,승승 노이즈캔슬링 헤드폰 Pro,전자기기,1,175200,175200,웹,배송완료
O001420,2024-02-19,C0087,P0025,승승 현미 잡곡 10kg,식품,1,35100,35100,전화,환불
O001536,2024-02-19,C0085,P0005,승승 USB-C 멀티허브 7in1,전자기기,1,38250,38250,앱,결제완료
O001943,2024-02-19,C0124,P0014,승승 데일리 코튼 후드티,패션의류,2,39000,78000,전화,배송완료
O000895,2024-02-20,C0091,P0037,북하우스 베스트셀러 소설 세트,도서,1,42000,42000,앱,배송완료
O001877,2024-02-20,C0005,P0013,장구 전기포트 1.7L 온도조절,가전,2,49000,98000,웹,결제완료
O001924,2024-02-20,C0025,P0034,스포라이프 조절식 덤벨 24kg,스포츠레저,1,127200,127200,앱,배송완료
O000343,2024-02-21,C0195,P0023,승승 프리미엄 원두커피 1kg,식품,1,28000,28000,전화,배송완료
O000990,2024-02-21,C0013,P0011,장구 에어프라이어 5.5L,가전,1,89000,89000,전화,배송완료
O001652,2024-02-21,C0149,P0015,승승 경량 패딩 점퍼,패션의류,1,119000,119000,전화,배송완료
O002042,2024-02-21,C0193,P0004,승승 고속충전 보조배터리 20000mAh,전자기기,1,39000,39000,웹,배송완료
O001082,2024-02-22,C0059,P0014,승승 데일리 코튼 후드티,패션의류,1,39000,39000,웹,환불
O001903,2024-02-22,C0016,P0011,장구 에어프라이어 5.5L,가전,2,89000,178000,앱,배송완료
O002207,2024-02-22,C0166,P0026,승승 콜드브루 스틱 30개입,식품,1,18000,18000,웹,배송중
O000079,2024-02-23,C0083,P0018,승승 방수 트레킹 자켓,패션의류,1,84150,84150,앱,배송중
O001908,2024-02-23,C0050,P0026,승승 콜드브루 스틱 30개입,식품,3,18000,54000,웹,배송완료
O000151,2024-02-24,C0141,P0022,뷰티풀 콜라겐 수분크림,뷰티,3,29000,87000,앱,배송완료
O001452,2024-02-24,C0125,P0039,북하우스 어린이 그림책 10권,도서,2,89000,178000,앱,배송완료
O002107,2024-02-24,C0179,P0021,뷰티풀 자외선차단 선크림 SPF50,뷰티,1,19000,19000,앱,배송완료
O002296,2024-02-24,C0065,P0014,승승 데일리 코튼 후드티,패션의류,1,39000,39000,전화,배송완료
O000583,2024-02-25,C0194,P0030,리빙 대용량 식기건조대,생활용품,2,35000,70000,웹,배송완료
O000774,2024-02-25,C0189,P0030,리빙 대용량 식기건조대,생활용품,2,31500,63000,웹,배송완료
O000837,2024-02-25,C0035,P0021,뷰티풀 자외선차단 선크림 SPF50,뷰티,2,19000,38000,전화,결제완료
O001249,2024-02-25,C0032,P0023,승승 프리미엄 원두커피 1kg,식품,3,28000,84000,웹,배송완료
O001902,2024-02-25,C0156,P0026,승승 콜드브루 스틱 30개입,식품,1,18000,18000,웹,환불
O000198,2024-02-26,C0027,P0014,승승 데일리 코튼 후드티,패션의류,2,39000,78000,앱,배송중
O001045,2024-02-26,C0032,P0035,스포라이프 등산 스틱 한쌍,스포츠레저,1,45000,45000,웹,배송완료
O002391,2024-02-26,C0099,P0033,스포라이프 요가매트 10mm,스포츠레저,1,32000,32000,전화,배송완료
O001003,2024-02-27,C0127,P0008,장구 로봇청소기 CleanX,가전,1,449000,449000,앱,배송완료
O001148,2024-02-27,C0170,P0034,스포라이프 조절식 덤벨 24kg,스포츠레저,3,159000,477000,앱,배송완료
O001162,2024-02-27,C0130,P0038,북하우스 코딩 입문 자습서,도서,5,28000,140000,앱,배송완료
O002181,2024-02-27,C0198,P0023,승승 프리미엄 원두커피 1kg,식품,2,25200,50400,앱,배송완료
O000859,2024-02-28,C0063,P0022,뷰티풀 콜라겐 수분크림,뷰티,1,23200,23200,웹,배송완료
O000878,2024-02-28,C0025,P0032,리빙 스테인리스 텀블러 500ml,생활용품,1,22000,22000,웹,배송완료
O001648,2024-02-28,C0100,P0011,장구 에어프라이어 5.5L,가전,1,89000,89000,웹,배송완료
O001653,2024-02-28,C0185,P0007,승승 4K 웹캠 스트리머,전자기기,2,99000,198000,웹,배송완료
O000380,2024-02-29,C0178,P0026,승승 콜드브루 스틱 30개입,식품,1,16200,16200,전화,배송완료
O001072,2024-02-29,C0030,P0027,승승 단백질 쉐이크 2kg,식품,3,49000,147000,전화,배송완료
O000660,2024-03-01,C0133,P0018,승승 방수 트레킹 자켓,패션의류,1,89100,89100,앱,환불
O000162,2024-03-02,C0078,P0023,승승 프리미엄 원두커피 1kg,식품,2,28000,56000,웹,배송완료
O000259,2024-03-02,C0018,P0026,승승 콜드브루 스틱 30개입,식품,1,18000,18000,앱,결제완료
O001310,2024-03-02,C0168,P0031,리빙 친환경 주방세제 리필 5L,생활용품,1,21000,21000,웹,배송완료
O000021,2024-03-03,C0050,P0016,승승 슬림핏 청바지,패션의류,5,59000,295000,웹,배송중
O000580,2024-03-03,C0108,P0030,리빙 대용량 식기건조대,생활용품,1,35000,35000,웹,배송완료
O000591,2024-03-03,C0107,P0033,스포라이프 요가매트 10mm,스포츠레저,2,32000,64000,웹,배송완료
O001428,2024-03-03,C0045,P0007,승승 4K 웹캠 스트리머,전자기기,3,99000,297000,앱,배송완료
O002366,2024-03-03,C0087,P0003,승승 스마트워치 Fit 5,전자기기,1,159000,159000,전화,배송완료
O000407,2024-03-04,C0045,P0030,리빙 대용량 식기건조대,생활용품,1,35000,35000,전화,배송완료
O000752,2024-03-04,C0034,P0003,승승 스마트워치 Fit 5,전자기기,2,159000,318000,전화,배송완료
O000843,2024-03-04,C0069,P0022,뷰티풀 콜라겐 수분크림,뷰티,1,23200,23200,웹,배송완료
O002302,2024-03-04,C0144,P0033,스포라이프 요가매트 10mm,스포츠레저,1,32000,32000,앱,배송완료
O000566,2024-03-05,C0101,P0003,승승 스마트워치 Fit 5,전자기기,1,159000,159000,웹,배송완료
O000798,2024-03-05,C0184,P0004,승승 고속충전 보조배터리 20000mAh,전자기기,1,39000,39000,웹,배송완료
O001185,2024-03-05,C0052,P0020,뷰티풀 비타민C 세럼 30ml,뷰티,1,34000,34000,전화,배송완료
O001281,2024-03-05,C0161,P0025,승승 현미 잡곡 10kg,식품,1,39000,39000,웹,배송완료
O002311,2024-03-05,C0059,P0031,리빙 친환경 주방세제 리필 5L,생활용품,2,21000,42000,웹,배송완료
O000300,2024-03-06,C0163,P0019,뷰티풀 수분 진정 토너 300ml,뷰티,2,19200,38400,앱,배송중
O000972,2024-03-06,C0037,P0027,승승 단백질 쉐이크 2kg,식품,1,49000,49000,앱,배송완료
O001255,2024-03-06,C0082,P0010,장구 공기청정기 미세 30평형,가전,1,329000,329000,웹,배송완료
O001131,2024-03-07,C0185,P0006,승승 기계식 게이밍 키보드,전자기기,2,75650,151300,앱,배송완료
O001397,2024-03-07,C0053,P0032,리빙 스테인리스 텀블러 500ml,생활용품,1,19800,19800,앱,배송완료
O001504,2024-03-07,C0068,P0032,리빙 스테인리스 텀블러 500ml,생활용품,1,19800,19800,웹,배송완료
O002278,2024-03-08,C0132,P0017,승승 베이직 무지 티셔츠 3팩,패션의류,1,29000,29000,웹,배송완료
O002331,2024-03-08,C0002,P0009,장구 무선 핸디 청소기,가전,1,129000,129000,웹,취소
O000526,2024-03-09,C0027,P0025,승승 현미 잡곡 10kg,식품,3,39000,117000,웹,배송완료
O001373,2024-03-09,C0072,P0011,장구 에어프라이어 5.5L,가전,1,89000,89000,앱,배송완료
O001951,2024-03-09,C0125,P0026,승승 콜드브루 스틱 30개입,식품,1,14400,14400,앱,배송완료
O001027,2024-03-10,C0098,P0013,장구 전기포트 1.7L 온도조절,가전,3,49000,147000,웹,배송완료
O002338,2024-03-11,C0124,P0014,승승 데일리 코튼 후드티,패션의류,1,35100,35100,앱,배송중
O000102,2024-03-12,C0081,P0003,승승 스마트워치 Fit 5,전자기기,1,159000,159000,전화,배송완료
O000549,2024-03-12,C0047,P0018,승승 방수 트레킹 자켓,패션의류,1,84150,84150,앱,배송완료
O001939,2024-03-12,C0022,P0009,장구 무선 핸디 청소기,가전,5,129000,645000,웹,배송완료
O002318,2024-03-12,C0100,P0039,북하우스 어린이 그림책 10권,도서,1,89000,89000,웹,배송중
O002376,2024-03-12,C0014,P0033,스포라이프 요가매트 10mm,스포츠레저,1,32000,32000,앱,배송완료
O000690,2024-03-13,C0090,P0001,승승 무선 블루투스 이어버드 SE,전자기기,5,79000,395000,앱,배송완료
O000925,2024-03-13,C0042,P0017,승승 베이직 무지 티셔츠 3팩,패션의류,1,23200,23200,웹,배송완료
O001549,2024-03-13,C0165,P0032,리빙 스테인리스 텀블러 500ml,생활용품,2,22000,44000,앱,배송중
O002083,2024-03-13,C0063,P0021,뷰티풀 자외선차단 선크림 SPF50,뷰티,1,16150,16150,웹,배송완료
O000874,2024-03-14,C0105,P0037,북하우스 베스트셀러 소설 세트,도서,1,42000,42000,웹,배송완료
O002271,2024-03-14,C0060,P0009,장구 무선 핸디 청소기,가전,1,103200,103200,웹,배송중
O000366,2024-03-15,C0093,P0022,뷰티풀 콜라겐 수분크림,뷰티,1,29000,29000,웹,배송완료
O000379,2024-03-15,C0061,P0012,장구 초고속 블렌더 1200W,가전,1,119000,119000,전화,배송완료
O000657,2024-03-15,C0037,P0004,승승 고속충전 보조배터리 20000mAh,전자기기,1,39000,39000,앱,배송완료
O001076,2024-03-15,C0031,P0038,북하우스 코딩 입문 자습서,도서,1,28000,28000,앱,배송완료
O001158,2024-03-15,C0139,P0030,리빙 대용량 식기건조대,생활용품,1,35000,35000,앱,배송중
O001431,2024-03-15,C0191,P0030,리빙 대용량 식기건조대,생활용품,1,35000,35000,앱,배송완료
O001717,2024-03-15,C0095,P0006,승승 기계식 게이밍 키보드,전자기기,5,89000,445000,전화,배송중
O002025,2024-03-15,C0097,P0004,승승 고속충전 보조배터리 20000mAh,전자기기,2,31200,62400,전화,배송완료
O000529,2024-03-16,C0021,P0002,승승 노이즈캔슬링 헤드폰 Pro,전자기기,1,175200,175200,웹,배송완료
O000778,2024-03-16,C0093,P0032,리빙 스테인리스 텀블러 500ml,생활용품,1,22000,22000,웹,배송완료
O001850,2024-03-16,C0135,P0035,스포라이프 등산 스틱 한쌍,스포츠레저,1,45000,45000,전화,배송완료
O002387,2024-03-16,C0099,P0013,장구 전기포트 1.7L 온도조절,가전,2,49000,98000,앱,배송완료
O000191,2024-03-17,C0190,P0014,승승 데일리 코튼 후드티,패션의류,1,39000,39000,웹,배송중
O001367,2024-03-18,C0187,P0017,승승 베이직 무지 티셔츠 3팩,패션의류,1,29000,29000,웹,배송완료
O001975,2024-03-18,C0074,P0003,승승 스마트워치 Fit 5,전자기기,1,143100,143100,웹,배송완료
O002112,2024-03-18,C0028,P0025,승승 현미 잡곡 10kg,식품,2,39000,78000,웹,배송완료
O002307,2024-03-18,C0093,P0037,북하우스 베스트셀러 소설 세트,도서,2,42000,84000,웹,배송중
O001665,2024-03-19,C0002,P0004,승승 고속충전 보조배터리 20000mAh,전자기기,3,39000,117000,전화,취소
O000359,2024-03-20,C0149,P0025,승승 현미 잡곡 10kg,식품,1,35100,35100,앱,배송완료
O000834,2024-03-20,C0166,P0037,북하우스 베스트셀러 소설 세트,도서,2,42000,84000,웹,배송완료
O001113,2024-03-20,C0032,P0032,리빙 스테인리스 텀블러 500ml,생활용품,1,22000,22000,웹,배송완료
O000493,2024-03-21,C0012,P0021,뷰티풀 자외선차단 선크림 SPF50,뷰티,1,19000,19000,웹,배송완료
O002280,2024-03-21,C0151,P0030,리빙 대용량 식기건조대,생활용품,3,35000,105000,앱,취소
O002382,2024-03-21,C0148,P0035,스포라이프 등산 스틱 한쌍,스포츠레저,1,45000,45000,웹,배송완료
O000503,2024-03-22,C0164,P0007,승승 4K 웹캠 스트리머,전자기기,1,99000,99000,전화,배송완료
O000276,2024-03-24,C0062,P0007,승승 4K 웹캠 스트리머,전자기기,1,84150,84150,웹,배송완료
O000334,2024-03-24,C0058,P0009,장구 무선 핸디 청소기,가전,1,116100,116100,전화,배송완료
O000178,2024-03-25,C0015,P0004,승승 고속충전 보조배터리 20000mAh,전자기기,1,33150,33150,웹,배송완료
O001308,2024-03-25,C0179,P0039,북하우스 어린이 그림책 10권,도서,1,89000,89000,전화,배송완료
O001882,2024-03-25,C0123,P0039,북하우스 어린이 그림책 10권,도서,2,89000,178000,앱,결제완료
O002127,2024-03-25,C0179,P0003,승승 스마트워치 Fit 5,전자기기,2,159000,318000,웹,배송완료
O000905,2024-03-26,C0106,P0038,북하우스 코딩 입문 자습서,도서,1,28000,28000,앱,배송완료
O000629,2024-03-27,C0036,P0006,승승 기계식 게이밍 키보드,전자기기,1,89000,89000,웹,배송완료
O000658,2024-03-27,C0169,P0007,승승 4K 웹캠 스트리머,전자기기,1,99000,99000,웹,배송완료
O001523,2024-03-27,C0040,P0012,장구 초고속 블렌더 1200W,가전,1,119000,119000,앱,배송완료
O000453,2024-03-28,C0166,P0017,승승 베이직 무지 티셔츠 3팩,패션의류,1,29000,29000,앱,배송완료
O001233,2024-03-28,C0150,P0024,승승 유기농 견과류 믹스 1kg,식품,2,23000,46000,전화,배송완료
O001248,2024-03-28,C0072,P0034,스포라이프 조절식 덤벨 24kg,스포츠레저,1,159000,159000,웹,배송완료
